nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris,Unnamed: 3,label,nb_images
Centrolophus niger,24,Le centrolophe noir,,5,120.0,150,5.0,800.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Centrophorus granulosus,613,Le squale-chagrin commun,,131,100.0,150,60.0,1200.0,,,,Vit sur fonds vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GIRARD Pascal in : DORIS, 19/01/2021 : Centrophorus granulosus Bloch & Schneider, 1801",https://doris.ffessm.fr/ref/specie/4908,,,
Centrophorus uyato,614,Le petit squale chagrin,,131,90.0,100,50.0,1400.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cepola macrophtalma,521,La cépole,,108,40.0,50,40.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cetorhinus maximus,623,Le requin pelerin,,137,800.0,900,0.0,10.0,,,,"Espece occasionnelle, saisonniere. En été en surface se nourissant du plancton, en profondeur en hiver",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DUMAS Jacques, ADER Denis, HUET Sylvie in : DORIS, 07/01/2022 : Cetorhinus maximus (Gunnerus, 1765)",https://doris.ffessm.fr/ref/specie/522,,,
Chaetodon hoefleri,245,Le poisson-papillon d’Hoefler,,56,15.0,20,10.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chaetodon robustus,247,Le poisson-papillon robuste,,56,12.0,15,3.0,70.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chaetodon sanctaehelenae,246,Le poisson papillon de sainte Helene,,56,10.0,12,1.0,25.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cheilopogon exsiliens,19,Le poisson volant à ailes rayées,,4,25.0,30,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cheilopogon heterurus,15,Le poisson volant mediterranéen,,4,30.0,35,0.0,5.0,loin du fond, ,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Cheilopogon pinnatibarbatus,18,Le poisson volant à miroirs,,4,35.0,42,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chelidonichthys cuculus,464,Le grondin rouge,,88,35.0,40,30.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
